"","str","formatted.address","entity.type","confidence","lat","lng"
"","120 ADVENTURELAND DR NE, ALTOONA, IA, 50009","120 Adventureland Dr NE,IA,Polk County,United States,120 Adventureland Dr NE, Altoona, IA 50009,Altoona,50009","Address","High","41.662614","-93.463959"
"","204 S DUFF AVE, AMES, IA, 50010","204 S Duff Ave,IA,Story County,United States,204 S Duff Ave, Ames, IA 50010,Ames,50010","Address","High","42.021386","-93.610159"
"","202 SE ORALABOR RD, ANKENY, IA, 50021","202 SE Oralabor Rd,IA,Polk County,United States,202 SE Oralabor Rd, Ankeny, IA 50021,Ankeny,50021","Address","High","41.703613","-93.596249"
"","320 NW 36TH ST, ANKENY, IA, 50023","320 NW 36th St,IA,Polk County,United States,320 NW 36th St, Ankeny, IA 50023,Ankeny,50023","Address","High","41.76131","-93.60362"
"","1001 UTICA RIDGE CT, BETTENDORF, IA, 52722","1001 Utica Ridge Ct,IA,Scott County,United States,1001 Utica Ridge Ct, Bettendorf, IA 52722,Bettendorf,52722","Address","High","41.555426","-90.518192"
"","2283 53RD AVE, BETTENDORF, IA, 52722","2283 53rd Ave,IA,Scott County,United States,2283 53rd Ave, Bettendorf, IA 52722,Bettendorf,52722","Address","High","41.574637","-90.500839"
"","2312 STATE ST, BETTENDORF, IA, 52722","2312 State St,IA,Scott County,United States,2312 State St, Bettendorf, IA 52722,Bettendorf,52722","Address","High","41.525919","-90.499675"
"","3510 BELMONT RD, BETTENDORF, IA, 52722","3510 Belmont Rd,IA,Scott County,United States,3510 Belmont Rd, Bettendorf, IA 52722,Bettendorf,52722","Address","High","41.556671","-90.483257"
"","6910 MIDDLE RD, BETTENDORF, IA, 52722","6910 Middle Rd,IA,Scott County,United States,6910 Middle Rd, Bettendorf, IA 52722,Bettendorf,52722","Address","High","41.592478","-90.459823"
"","4183 HIGHWAY 21, BROOKLYN, IA, 52211","4183 Highway 21,IA,Poweshiek County,United States,4183 Highway 21, Brooklyn, IA 52211,Brooklyn,52211","Address","High","41.691643","-92.357145"
"","205 N MARYVILLE ST, CALMAR, IA, 52132","205 N Maryville St,IA,Winneshiek County,United States,205 N Maryville St, Calmar, IA 52132,Calmar,52132","Address","High","43.184247","-91.8648041"
"","803 7TH AVE, CAMANCHE, IA, 52730","803 7th Ave,IA,Clinton County,United States,803 7th Ave, Camanche, IA 52730,Camanche,52730","Address","High","41.787464","-90.257358"
"","4116 UNIVERSITY AVE STE 106, CEDAR FALLS, IA, 50613","4116 University Ave,IA,Black Hawk County,United States,4116 University Ave, Cedar Falls, IA 50613,Cedar Falls,50613","Address","High","42.506221","-92.406992"
"","4515 CONEFLOWER PKWY, CEDAR FALLS, IA, 50613","4515 Coneflower Pkwy,IA,Black Hawk County,United States,4515 Coneflower Pkwy, Cedar Falls, IA 50613,Cedar Falls,50613","Address","High","42.497713","-92.443603"
"","7500 NORDIC DR, CEDAR FALLS, IA, 50613","7500 Nordic Dr,IA,Black Hawk County,United States,7500 Nordic Dr, Cedar Falls, IA 50613,Cedar Falls,50613","Address","High","42.470272","-92.44712"
"","2019 COLLEGE ST, CEDAR FALLS, IA, 50613","2019 College St,IA,Black Hawk County,United States,2019 College St, Cedar Falls, IA 50613,Cedar Falls,50613","Address","High","42.518942","-92.456418"
"","2846 MOUNT VERNON RD SE, CEDAR RAPIDS, IA, 52403","2846 Mount Vernon Rd SE,IA,Linn County,United States,2846 Mount Vernon Rd SE, Cedar Rapids, IA 52403,Cedar Rapids,52403","Address","High","41.9771863","-91.6242743"
"","251 33RD AVE SW, CEDAR RAPIDS, IA, 52404","251 33rd Ave SW,IA,Linn County,United States,251 33rd Ave SW, Cedar Rapids, IA 52404,Cedar Rapids,52404","Address","High","41.944488","-91.667744"
