"Store Number","Store Name","Address","City","State","Zip","Phone","Latitude","Longitude","Car Wash","Sells Gas","Sells Diesel","Sells BioDiesel","Sells CNG","Sells LNG","Sells DEF","Sells E85"
"932","KWIK STAR #932","120 ADVENTURELAND DR NE","ALTOONA","IA","50009","(515) 967-7651","41.66261","-93.46394","Yes","Yes","Yes","No","No","No","Yes","Yes"
"530","TOBACCO OUTLET PLUS #530","204 S DUFF AVE","AMES","IA","50010","(515) 232-4389","42.02167","-93.61027","No","No","No","No","No","No","No","No"
"1016","KWIK STAR #1016","202 SE ORALABOR RD","ANKENY","IA","50021","(515) 964-4882","41.703","-93.59536","Yes","Yes","Yes","No","No","No","No","Yes"
"1057","KWIK STAR #1057","320 NW 36TH ST","ANKENY","IA","50023","(515) 964-0347","41.76115","-93.60368","Yes","Yes","Yes","No","No","No","No","Yes"
"929","KWIK STAR #929","1001 UTICA RIDGE CT","BETTENDORF","IA","52722","(563) 355-7479","41.55558","-90.51863","Yes","Yes","Yes","No","No","No","Yes","Yes"
"299","KWIK STAR #299","2283 53RD AVE","BETTENDORF","IA","52722","(563) 332-0622","41.57449","-90.50023","Yes","Yes","Yes","No","No","No","No","Yes"
"502","TOBACCO OUTLET PLUS #502","2312 STATE ST","BETTENDORF","IA","52722","(563) 355-5741","41.52583","-90.5","No","No","No","No","No","No","No","No"
"1007","KWIK STAR #1007","3510 BELMONT RD","BETTENDORF","IA","52722","(563) 332-9893","41.55636","-90.48284","Yes","Yes","Yes","No","No","No","No","Yes"
"1039","KWIK STAR #1039","6910 MIDDLE RD","BETTENDORF","IA","52722","(563) 332-7455","41.59301","-90.46202","Yes","Yes","Yes","No","No","No","Yes","Yes"
"303","KWIK STAR #303","4183 HIGHWAY 21","BROOKLYN","IA","52211","(319) 685-4411","41.69181","-92.35729","No","Yes","Yes","No","No","No","Yes","No"
"817","KWIK STAR #817","205 N MARYVILLE ST","CALMAR","IA","52132","(563) 562-3945","43.18423","-91.86469","No","Yes","Yes","No","No","No","No","No"
"632","KWIK STAR #632","803 7TH AVE","CAMANCHE","IA","52730","(563) 259-1651","41.7875","-90.25722","No","Yes","Yes","No","No","No","No","No"
"561","TOBACCO OUTLET PLUS #561","4116 UNIVERSITY AVE STE 106","CEDAR FALLS","IA","50613","(319) 268-0995","42.50611","-92.40611","No","No","No","No","No","No","No","No"
"934","KWIK STAR #934","4515 CONEFLOWER PKWY","CEDAR FALLS","IA","50613","(319) 266-6428","42.49775","-92.44306","Yes","Yes","Yes","No","No","No","No","Yes"
"490","KWIK STAR #490","7500 NORDIC DR","CEDAR FALLS","IA","50613","(319) 277-1025","42.4704","-92.44708","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"726","KWIK STAR #726","2019 COLLEGE ST","CEDAR FALLS","IA","50613","(319) 277-7226","42.51896","-92.45622","No","Yes","No","No","No","No","No","No"
"560","TOBACCO OUTLET PLUS #560","2846 MOUNT VERNON RD SE","CEDAR RAPIDS","IA","52403","(319) 364-8016","41.97694","-91.62388","No","No","No","No","No","No","No","No"
"581","KWIK STAR #581","251 33RD AVE SW","CEDAR RAPIDS","IA","52404","(319) 363-0558","41.94492","-91.6678","Yes","Yes","Yes","No","No","No","Yes","Yes"
"520","TOBACCO OUTLET PLUS #520","124 COLLINS RD NE STE C","CEDAR RAPIDS","IA","52402","(319) 377-0622","42.02694","-91.62277","No","No","No","No","No","No","No","No"
"947","KWIK STAR #947","1001 BLAIRS FERRY RD NE","CEDAR RAPIDS","IA","52402","(319) 393-3321","42.03424","-91.65003","Yes","Yes","Yes","No","No","No","No","Yes"
"283","KWIK STAR #283","8835 RUNWAY CT SW","CEDAR RAPIDS","IA","52404","(319) 362-3096","41.8918","-91.67398","No","Yes","Yes","No","No","No","Yes","Yes"
"106","KWIK STAR #106","4141 CENTER POINT RD NE","CEDAR RAPIDS","IA","52402","(319) 393-3398","42.02128","-91.66587","No","Yes","Yes","No","No","No","No","Yes"
"165","KWIK STAR #165","3730 WILLIAMS BLVD SW","CEDAR RAPIDS","IA","52404","(319) 390-9950","41.95528","-91.72157","Yes","Yes","Yes","No","No","No","No","Yes"
"468","KWIK STAR #468","605 GILBERT ST","CHARLES CITY","IA","50616","(641) 228-2340","43.06442","-92.67955","Yes","Yes","Yes","No","No","No","No","Yes"
